,minimum,maximum
DM_Shed_KS_Fragment,0.0,3.70919881305638
DM_Truncated_Fibromodulin,0.0,0.6666666666666667
DM_Truncated_Serglycin_A,0.0,1.0
DM_Truncated_Serglycin_B,0.0,1.0
DM_Truncated_Aggrecan_A,0.0,0.10356255178127584
DM_Truncated_Aggrecan_B,0.0,0.10356255178127584
DM_LMW_Hyaluronan_Fragment,0.0,25.0
DM_Actin_Complex,0.0,0.6341154090044396
DM_Tubulin,0.0,0.26737967914438504
DM_Vimentin_GlcNAc,0.0,0.537345513164965
DM_MyosinLC,0.0,1.0
