,minimum,maximum
MAR09355,-454.5454545454545,1000.0
MAR09356,0.0,1000.0
MAR09357,0.0,1000.0
MAR09358,-1000.0,1000.0
MAR09359,-1000.0,1000.0
MAR09360,-1000.0,1000.0
MAR09361,-1000.0,1000.0
MAR09362,-1000.0,1000.0
MAR09363,-1000.0,1000.0
MAR09364,-1000.0,1000.0
MAR09365,-1000.0,1000.0
MAR09366,-1000.0,1000.0
MAR09367,-1000.0,1000.0
MAR09368,-1000.0,1000.0
MAR09369,-1000.0,0.0
MAR09370,-1000.0,1000.0
MAR09371,-1000.0,1000.0
MAR09372,-1000.0,1000.0
MAR09373,-1000.0,1000.0
MAR09374,0.0,1000.0
MAR09375,-1000.0,1000.0
MAR09376,-1000.0,1000.0
MAR09377,-1000.0,0.0
MAR09378,-1000.0,1000.0
MAR09379,-1000.0,0.0
MAR09380,0.0,1000.0
MAR09381,0.0,1000.0
MAR09382,0.0,1000.0
MAR09383,-1000.0,1000.0
MAR09384,0.0,1000.0
MAR09385,0.0,1000.0
MAR09386,-1000.0,1000.0
MAR09387,-1000.0,0.0
MAR09388,-666.6666666666666,1000.0
MAR09389,-1000.0,1000.0
MAR09390,0.0,1000.0
MAR09391,0.0,1000.0
MAR09392,0.0,0.0
MAR09393,-1000.0,1000.0
MAR09394,0.0,0.0
MAR09395,-1000.0,1000.0
MAR09396,-1000.0,1000.0
MAR09397,-1000.0,1000.0
MAR09398,-1000.0,1000.0
MAR09399,-1000.0,0.0
MAR09400,-1000.0,1000.0
MAR09401,-1000.0,1000.0
MAR09404,-1000.0,1000.0
MAR09405,0.0,1000.0
MAR09406,-1000.0,1000.0
MAR09407,0.0,0.0
MAR09408,0.0,1000.0
MAR09409,-1000.0,1000.0
MAR09410,-1000.0,1000.0
MAR09411,-1000.0,1000.0
MAR09412,-1000.0,1000.0
MAR09413,-1000.0,0.0
MAR09414,-1000.0,1000.0
MAR09415,-1000.0,1000.0
MAR09416,-1000.0,0.0
MAR09417,-1000.0,0.0
MAR09418,-1000.0,1000.0
MAR09419,-1000.0,0.0
MAR09420,-1000.0,1000.0
MAR09421,-1000.0,1000.0
MAR09422,-1000.0,1000.0
MAR09423,-1000.0,1000.0
MAR09424,-1000.0,1000.0
MAR09425,-1000.0,0.0
MAR09426,-1000.0,0.0
MAR09427,-1000.0,1000.0
MAR09428,-1000.0,1000.0
MAR09429,-1000.0,1000.0
MAR09430,0.0,1000.0
MAR09431,0.0,1000.0
MAR09432,-1000.0,1000.0
MAR09433,-1000.0,1000.0
MAR09434,0.0,1000.0
MAR09435,-1000.0,1000.0
MAR09436,-1000.0,1000.0
MAR09437,-1000.0,1000.0
MAR09438,-1000.0,1000.0
MAR09439,-1000.0,1000.0
MAR09440,-1000.0,1000.0
MAR09441,-1000.0,0.0
MAR09442,0.0,1000.0
MAR09443,0.0,1000.0
MAR09444,0.0,1000.0
MAR09445,-1000.0,1000.0
MAR09446,-1000.0,1000.0
MAR09447,-1000.0,0.0
MAR09448,-1000.0,0.0
MAR09449,0.0,1000.0
MAR09450,-1000.0,0.0
MAR09451,-1000.0,1000.0
MAR09452,-1000.0,1000.0
MAR09453,-1000.0,0.0
MAR09454,-1000.0,0.0
MAR09455,-1000.0,0.0
MAR09456,-1000.0,0.0
MAR09457,-1000.0,0.0
MAR09458,-1000.0,0.0
MAR09460,0.0,1000.0
MAR09461,0.0,1000.0
MAR09462,-1000.0,1000.0
MAR09463,-1000.0,1000.0
MAR09681,0.0,250.0
MAR09682,-1000.0,0.0
MAR09683,0.0,1000.0
MAR09684,-1000.0,1000.0
MAR09685,-1000.0,1000.0
MAR09686,0.0,222.22221555555552
MAR09687,0.0,666.6450000000001
MAR09688,0.0,370.37036814814815
MAR09689,-1000.0,1000.0
MAR09690,-1000.0,1000.0
MAR09691,-1000.0,1000.0
MAR09692,0.0,1000.0
MAR09693,-1000.0,1000.0
MAR09694,0.0,1000.0
MAR09695,-1000.0,555.5555522222222
MAR09696,0.0,555.537785506115
MAR09697,0.0,370.37036814814815
MAR09698,-1000.0,1000.0
MAR09699,0.0,1000.0
MAR09700,0.0,222.22221555555555
MAR09701,-1000.0,500.0
MAR09702,-1000.0,1000.0
MAR09703,0.0,333.3333133333334
MAR09704,0.0,333.3333133333333
MAR09705,0.0,333.3333133333334
MAR09706,0.0,499.98375000000004
MAR09707,0.0,1000.0
MAR09708,0.0,1000.0
MAR09709,0.0,999.9675000000001
MAR09710,0.0,999.9675000000001
MAR09711,0.0,999.9675000000001
MAR09712,0.0,249.999985
MAR09713,0.0,1000.0
MAR09714,0.0,333.3333133333333
MAR09715,-1000.0,1000.0
MAR09721,0.0,1000.0
MAR09729,-76.10304449648712,1000.0
MAR09730,-26.152967012241337,4.893597354168366
MAR00564,0.0,0.0
MAR00565,0.0,1000.0
MAR00566,-1000.0,1000.0
MAR00567,-1000.0,1000.0
MAR00568,-1000.0,1000.0
MAR00569,-1000.0,1000.0
MAR00570,0.0,0.0
MAR00571,-1000.0,1000.0
MAR00572,-1000.0,1000.0
MAR00573,-1000.0,1000.0
MAR00574,-1000.0,999.99998
MAR00575,-1000.0,1000.0
MAR00576,-1000.0,1000.0
MAR00577,-1000.0,1000.0
MAR00583,-1000.0,1000.0
MAR00585,0.0,500.0
MAR00595,-1000.0,1000.0
MAR00603,0.0,1000.0
MAR00606,-1000.0,0.0
MAR00608,-1000.0,1000.0
MAR00609,0.0,1000.0
MAR00611,-1000.0,1000.0
MAR00617,-1000.0,1000.0
MAR00618,-1000.0,1000.0
MAR00619,-1000.0,1000.0
MAR00620,-1000.0,1000.0
MAR00621,-1000.0,1000.0
MAR00624,-1000.0,1000.0
MAR00626,-1000.0,1000.0
MAR00628,-1000.0,1000.0
MAR00631,-1000.0,1000.0
MAR00637,-1000.0,1000.0
MAR00639,-1000.0,1000.0
MAR00650,-1000.0,1000.0
MAR00655,-1000.0,1000.0
MAR00656,-1000.0,1000.0
MAR00658,-1000.0,1000.0
MAR00661,-1000.0,1000.0
MAR00662,-1000.0,1000.0
MAR00666,-1000.0,1000.0
MAR00693,-1000.0,1000.0
MAR00694,0.0,0.0
MAR00695,-1000.0,1000.0
MAR00696,-1000.0,1000.0
